City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
215,Pisco,-13.7,-76.2167,65.01,overcast clouds,77,90,8.05,PE
216,Nanortalik,60.1432,-45.2371,36.1,clear sky,65,1,3.91,GL
217,Chuy,-33.6971,-53.4616,65.68,scattered clouds,69,31,9.08,UY
218,Sipe Sipe,-17.45,-66.3833,84.69,scattered clouds,31,45,10.96,BO
219,Pierre,44.3683,-100.351,87.28,clear sky,37,0,1.99,US
220,The Pas,53.8251,-101.2541,64.42,clear sky,52,1,18.41,CA
221,Esil,51.9556,66.4042,39.85,broken clouds,69,80,20.96,KZ
222,Bathsheba,13.2167,-59.5167,88.41,few clouds,66,20,9.22,BB
223,Port Shepstone,-30.7414,30.455,68.79,scattered clouds,78,41,28.83,ZA
224,Kirakira,-10.4544,161.9205,77.29,light rain,91,100,7.72,SB
225,Iwanai,42.9744,140.5089,54.5,light rain,89,100,7.25,JP
226,Qaanaaq,77.484,-69.3632,24.42,overcast clouds,69,100,5.68,GL
227,Toora-Khem,52.4675,96.11,15.76,broken clouds,97,68,1.88,RU
228,Mehamn,71.0357,27.8492,55.35,clear sky,76,0,14.97,NO
229,Isangel,-19.55,169.2667,69.91,clear sky,78,8,5.75,VU
230,Lyuban,52.7985,28.0048,49.3,overcast clouds,77,100,5.55,BY
231,Tam Ky,15.5667,108.4833,76.98,clear sky,91,6,5.59,VN
232,Talnakh,69.4865,88.3972,30.97,scattered clouds,59,32,2.62,RU
233,Gevrai,19.2667,75.75,73.78,overcast clouds,94,100,15.43,IN
234,Kulhudhuffushi,6.6221,73.07,81.54,overcast clouds,76,100,18.72,MV
235,Morro Bay,35.3658,-120.8499,72.14,few clouds,81,14,1.01,US
236,Touros,-5.1989,-35.4608,83.3,clear sky,71,8,19.3,BR
237,Fairbanks,64.8378,-147.7164,33.1,overcast clouds,79,90,3.44,US
238,Iqaluit,63.7506,-68.5145,37.13,broken clouds,74,75,13.0,CA
239,Bengkulu,-3.8004,102.2655,75.88,light rain,91,99,3.02,ID
240,Mar Del Plata,-38.0023,-57.5575,53.01,broken clouds,71,75,5.99,AR
241,East Northport,40.8768,-73.3246,80.56,clear sky,53,7,7.0,US
242,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,89.4,scattered clouds,62,40,3.44,BR
243,Kloulklubed,7.0419,134.2556,83.79,overcast clouds,75,100,8.12,PW
244,Tuatapere,-46.1333,167.6833,41.83,overcast clouds,80,94,5.53,NZ
245,Nikolayevsk-Na-Amure,53.1406,140.73,52.02,light rain,94,100,3.2,RU
246,Rabat,33.9911,-6.8401,71.01,scattered clouds,82,40,4.61,MA
247,Ukiah,39.1502,-123.2078,76.03,broken clouds,74,81,4.41,US
248,Robertsport,6.7533,-11.3686,76.78,light rain,84,100,16.31,LR
249,Souillac,-20.5167,57.5167,72.36,few clouds,73,20,12.66,MU
250,Pevek,69.7008,170.3133,22.44,overcast clouds,70,100,1.77,RU
251,Senneterre,48.3835,-77.2328,48.42,overcast clouds,73,100,8.68,CA
252,Zeya,53.75,127.2667,39.88,clear sky,95,0,3.56,RU
253,Kahului,20.8947,-156.47,83.97,clear sky,72,3,8.99,US
254,Vaxjo,56.8777,14.8091,53.8,broken clouds,87,75,9.22,SE
255,Qasigiannguit,68.8193,-51.1922,17.91,clear sky,74,0,2.71,GL
